Tempo ;  X   ;  Y   ; Z
0;17;6;214
1;-2;-56;216
2;-10;-86;214
3;46;108;218
4;22;22;220
5;27;10;225
6;65;77;219
7;41;45;220
8;-4;-21;237
9;4;-27;232
10;-4;-2;258
11;26;-3;267
12;30;0;261
13;23;-26;266
14;20;-47;260
15;29;-71;248
16;10;-96;197
17;44;-77;175
18;46;-81;172
19;44;-88;154
20;48;-92;136
21;43;-77;135
22;103;-180;175
23;50;-105;197
24;26;-87;122
25;-6;-127;124
26;27;-119;43
27;24;-32;28
28;15;-12;22
29;9;-17;30
30;-70;-85;154
31;-80;-147;422
32;511;-512;511
33;-1;-73;-35
34;146;511;359
35;-54;-186;511
36;21;-29;164
37;41;-29;150
38;16;-28;179
39;4;-12;242
40;-2;-26;241
